game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,1,1,20,grim_trigger,qwen3-8b-base,0.35,0.3,0,1.6
ipd,1,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,1,3,20,grim_trigger,qwen3-8b-base,0.4,0.45,0,2.0
ipd,2,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,2,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,2,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,2,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,3,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,3,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,3,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
ipd,3,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,1,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,1,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,1,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,1,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,2,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,2,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,2,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,2,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,3,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,3,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,3,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
chicken,3,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,3.0
staghunt,1,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,1,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,1,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,1,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,2,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,2,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,2,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,2,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,3,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,3,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,3,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
staghunt,3,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,1,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,1,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,1,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,1,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,2,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,2,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,2,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,2,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,3,0,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,3,1,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,3,2,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
harmony,3,3,20,grim_trigger,qwen3-8b-base,1.0,1.0,0,5.0
