game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,random,qwen3-8b-base,0.1,0.35,0,2.3
ipd,1,1,20,random,qwen3-8b-base,0.3,0.55,0,2.7
ipd,1,2,20,random,qwen3-8b-base,0.1,0.4,0,2.5
ipd,1,3,20,random,qwen3-8b-base,0.25,0.45,0,2.45
ipd,2,0,20,random,qwen3-8b-base,0.15,0.35,0,2.2
ipd,2,1,20,random,qwen3-8b-base,0.25,0.55,0,2.85
ipd,2,2,20,random,qwen3-8b-base,0.25,0.4,0,2.25
ipd,2,3,20,random,qwen3-8b-base,0.3,0.45,0,2.4
ipd,3,0,20,random,qwen3-8b-base,0.25,0.35,0,2.15
ipd,3,1,20,random,qwen3-8b-base,0.45,0.55,0,2.55
ipd,3,2,20,random,qwen3-8b-base,0.2,0.4,0,2.35
ipd,3,3,20,random,qwen3-8b-base,0.2,0.45,0,2.5
chicken,1,0,20,random,qwen3-8b-base,0.4,0.35,0,1.55
chicken,1,1,20,random,qwen3-8b-base,0.15,0.55,0,2.75
chicken,1,2,20,random,qwen3-8b-base,0.15,0.4,0,1.85
chicken,1,3,20,random,qwen3-8b-base,0.2,0.45,0,2.15
chicken,2,0,20,random,qwen3-8b-base,0.5,0.35,0,1.95
chicken,2,1,20,random,qwen3-8b-base,0.7,0.55,0,1.95
chicken,2,2,20,random,qwen3-8b-base,0.5,0.4,0,1.75
chicken,2,3,20,random,qwen3-8b-base,0.4,0.45,0,2.2
chicken,3,0,20,random,qwen3-8b-base,0.5,0.35,0,1.65
chicken,3,1,20,random,qwen3-8b-base,0.6,0.55,0,2.15
chicken,3,2,20,random,qwen3-8b-base,0.15,0.4,0,2.15
chicken,3,3,20,random,qwen3-8b-base,0.45,0.45,0,2.1
staghunt,1,0,20,random,qwen3-8b-base,0.3,0.35,0,1.55
staghunt,1,1,20,random,qwen3-8b-base,0.35,0.55,0,2.35
staghunt,1,2,20,random,qwen3-8b-base,0.2,0.4,0,1.75
staghunt,1,3,20,random,qwen3-8b-base,0.35,0.45,0,1.7
staghunt,2,0,20,random,qwen3-8b-base,0.2,0.35,0,1.65
staghunt,2,1,20,random,qwen3-8b-base,0.3,0.55,0,2.1
staghunt,2,2,20,random,qwen3-8b-base,0.3,0.4,0,1.95
staghunt,2,3,20,random,qwen3-8b-base,0.3,0.45,0,1.9
staghunt,3,0,20,random,qwen3-8b-base,0.3,0.35,0,1.85
staghunt,3,1,20,random,qwen3-8b-base,0.5,0.55,0,2.35
staghunt,3,2,20,random,qwen3-8b-base,0.3,0.4,0,1.8
staghunt,3,3,20,random,qwen3-8b-base,0.3,0.45,0,1.9
harmony,1,0,20,random,qwen3-8b-base,0.3157894736842105,0.35,1,1.736842105263158
harmony,1,1,20,random,qwen3-8b-base,0.4,0.55,0,2.45
harmony,1,2,20,random,qwen3-8b-base,0.45,0.4,0,2.1
harmony,1,3,20,random,qwen3-8b-base,0.55,0.45,0,2.45
harmony,2,0,20,random,qwen3-8b-base,0.65,0.35,0,2.35
harmony,2,1,20,random,qwen3-8b-base,0.4,0.55,0,2.45
harmony,2,2,20,random,qwen3-8b-base,0.55,0.4,0,2.3
harmony,2,3,20,random,qwen3-8b-base,0.5,0.45,0,2.35
harmony,3,0,20,random,qwen3-8b-base,0.65,0.35,0,2.35
harmony,3,1,20,random,qwen3-8b-base,0.5,0.55,0,2.65
harmony,3,2,20,random,qwen3-8b-base,0.45,0.4,0,2.1
harmony,3,3,20,random,qwen3-8b-base,0.5,0.45,0,2.35
