game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.15
ipd,1,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,1.3
ipd,1,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.15
ipd,1,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,1.3
ipd,2,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.15
ipd,2,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.15
ipd,2,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.15
ipd,2,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.05,0,1.1
ipd,3,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,1.3
ipd,3,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,1.3
ipd,3,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.15,0.15,0,1.45
ipd,3,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.15
chicken,1,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.2,0.2,0,1.2
chicken,1,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.8,0.75,0,2.45
chicken,1,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,0.6
chicken,1,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.75,0.7,0,2.3
chicken,2,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.4,0.35,0,1.85
chicken,2,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.3,0.25,0,1.55
chicken,2,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.5,0.45,0,2.3
chicken,2,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.35,0.3,0,1.7
chicken,3,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.75,0.7,0,2.6
chicken,3,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.25,0.25,0,1.5
chicken,3,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.35,0.35,0,2.1
chicken,3,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.25,0.25,0,1.5
staghunt,1,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.25,0.25,0,1.25
staghunt,1,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.25,0.25,0,1.25
staghunt,1,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.15,0.15,0,1.15
staghunt,1,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,1.1
staghunt,2,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.15,0.15,0,1.15
staghunt,2,1,20,suspicious_tit_for_tat,qwen3-8b-base,1.0,0.95,0,4.75
staghunt,2,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.05
staghunt,2,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.1,0.1,0,1.1
staghunt,3,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.05
staghunt,3,1,20,suspicious_tit_for_tat,qwen3-8b-base,1.0,0.95,0,4.75
staghunt,3,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.15,0.15,0,1.15
staghunt,3,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.05,0.05,0,1.05
harmony,1,0,20,suspicious_tit_for_tat,qwen3-8b-base,1.0,0.95,0,4.85
harmony,1,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.95,0.9,0,4.6
harmony,1,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.3,0.3,0,1.5
harmony,1,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.2,0.2,0,1.0
harmony,2,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.95,0.9,0,4.6
harmony,2,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.8,0.75,0,3.85
harmony,2,2,20,suspicious_tit_for_tat,qwen3-8b-base,0.4,0.4,0,2.0
harmony,2,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.8,0.75,0,3.85
harmony,3,0,20,suspicious_tit_for_tat,qwen3-8b-base,0.4,0.4,0,2.0
harmony,3,1,20,suspicious_tit_for_tat,qwen3-8b-base,0.75,0.7,0,3.6
harmony,3,2,20,suspicious_tit_for_tat,qwen3-8b-base,1.0,0.95,0,4.85
harmony,3,3,20,suspicious_tit_for_tat,qwen3-8b-base,0.85,0.8,0,4.1
